id,context,question,option_a,option_b,option_c,option_d,correct_answer
542,Tipul bool a fost introdus în C++ pentru a lucra cu valori logice.,Ce valori poate stoca tipul bool în C++?,true și false,0 și 1,Adevărat și fals,Da și nu,A
543,"Există o compatibilitate între tipurile întregi și tipul bool, deoarece compilatorul realizează conversii automate.",Ce se întâmplă când o valoare întreagă este atribuită unei variabile de tip bool?,"Valoarea este convertită automat: 0 → false, altfel → true",Se ignoră atribuirea,Se generează o eroare,Variabila bool devine nedefinită,A
544,Tipul wchar_t este o extensie a tipului char și permite reprezentarea caracterelor Unicode.,Câți octeți ocupă de regulă tipul wchar_t?,Depinde de sistemul de operare,2,4,1,B
545,"În C++, declarațiile locale pot fi făcute oriunde într-un bloc, nu doar la începutul acestuia.",Unde pot fi declarate variabile locale în C++?,"Oriunde într-un bloc, înainte de utilizare",Doar la începutul funcției,Numai în cadrul clasei principale,Doar în afara funcțiilor,A
546,Spațiul numelor (namespace) permite definirea de variabile și funcții care pot avea același nume în module diferite.,Ce avantaj oferă spațiul numelor în C++?,Permite moștenirea multiplă,Evită conflictele de nume între module diferite,Optimizează alocarea memoriei,Îmbunătățește viteza de compilare,B
547,Toate variabilele și funcțiile standard din C++ se află în spațiul numelor std.,Ce directive permite accesarea elementelor din namespace-ul std fără prefix?,#include <std>,using namespace std;,namespace std;,import std.*;,B
548,O referință este un nume alternativ pentru o variabilă existentă.,Cum se declară o referință în C++?,T variabila&;,T* variabila;,T& variabila = original;,ref T variabila;,C
549,O referință trebuie inițializată la momentul declarării și nu poate fi schimbată ulterior.,Ce condiție trebuie respectată la declararea unei referințe?,Să fie declarată global,Să aibă o valoare implicită,Să fie inițializată la declarare,Să fie statică,C
550,"Referințele se comportă similar cu pointerii, dar sunt dereferențiate automat.",Care este principala diferență între pointeri și referințe?,Pointerii sunt mai rapizi decât referințele,"Referințele pot fi nule, pointerii nu",Referințele pot fi modificate oricând,Referințele sunt dereferențiate automat și nu pot fi reinițializate,D
551,Funcțiile inline reduc timpul de execuție prin înlocuirea apelului cu codul efectiv al funcției.,Cum se declară o funcție inline în C++?,static return_type nume(parametri),inline return_type nume(parametri),register return_type nume(parametri),constexpr return_type nume(parametri),B
552,"Funcțiile inline sunt potrivite pentru funcții scurte, fără bucle complexe sau recursivitate.",Pentru ce tip de funcții se recomandă folosirea cuvântului cheie inline?,Funcții complexe și recursive,Funcții definite în fișiere header,Funcții scurte și frecvent apelate,Funcții membre virtuale,C
553,"Funcțiile pot avea parametri cu valori implicite, care sunt folosite dacă apelul nu furnizează un argument corespunzător.",Ce sunt valorile implicite ale parametrilor unei funcții?,Rezultatele funcției anterioare,Tipuri generice pentru funcție,"Parametri care pot lipsi la apel, având o valoare prestabilită",Variabile globale accesate automat,C
554,Parametrii impliciți trebuie declarați la sfârșitul listei de parametri ai funcției.,Unde pot fi declarați parametrii cu valori implicite într-o funcție?,În afara antetului funcției,La sfârșitul listei de parametri,La mijlocul listei de parametri,La începutul listei de parametri,B
555,Două funcții pot avea același nume dacă diferă prin tipul sau numărul parametrilor.,Ce este supraîncărcarea funcțiilor în C++?,Definirea aceleiași funcții în mai multe fișiere,Reutilizarea unei funcții din clasa de bază,"Existența mai multor funcții cu același nume, dar semnături diferite",Utilizarea funcțiilor din biblioteci externe,C
556,Tipul valorii returnate nu poate fi folosit singur pentru a distinge funcțiile supraîncărcate.,Prin ce pot fi diferențiate funcțiile supraîncărcate?,Prin tipul valorii returnate,Prin numărul și tipul parametrilor,Prin modul de compilare,Prin numele fișierului sursă,B
557,Operatorii new și delete gestionează alocarea și eliberarea memoriei în zona heap.,Ce zonă de memorie este folosită de operatorii new și delete?,Zona statică,Zona de cod,Stack,Heap,D
558,"Operatorul new alocă automat memorie și apelează constructorul clasei, dacă este cazul.",Ce acțiune efectuează operatorul new asupra unei clase?,Alocă memorie și apelează constructorul clasei,Apelează destructorul clasei,Doar alocă memorie fără inițializare,Ignoră tipul obiectului,A
559,Pentru dealocarea completă a unui tablou dinamic se folosește sintaxa delete[].,Cum se eliberează memoria alocată pentru un tablou cu operatorul new?,delete p;,free(p);,delete[] p;,dispose(p);,C
560,Operatorul delete oferă protecție în cazul dealocării unui pointer NULL.,Ce se întâmplă dacă delete este aplicat unui pointer NULL?,"Se ignoră instrucțiunea, fără efecte adverse",Memoria este realocată,Pointerul este șters definitiv din program,Se produce o eroare de execuție,A
561,Funcțiile template permit crearea de funcții generice care pot lucra cu tipuri diferite de date.,Ce reprezintă o funcție template?,O funcție care returnează un pointer generic,O funcție statică definită într-o clasă,O funcție care primește doar parametri întregi,O funcție generică ce poate opera cu mai multe tipuri de date,D
562,Sintaxa pentru definirea unei funcții template include expresia template <class T>.,Cum se declară o funcție template în C++?,generic <T> function(T param);,template T function(T param);,template <class T> return_type nume(T param);,class template <T>;,C
563,Funcțiile template sunt instanțiate automat de compilator pentru tipurile utilizate.,Cum este generat codul pentru o funcție template?,Numai pentru tipurile numerice,"Automat, de către compilator pentru fiecare tip folosit","Manual, de către programator",Numai dacă este apelată explicit,B
564,C++ oferă clasele istream și ostream pentru gestionarea operațiilor de intrare-ieșire.,Ce clase C++ sunt folosite pentru intrare și ieșire standard?,read și write,istream și ostream,in și out,stdio și stdlib,B
565,Obiectul cout este utilizat pentru afișarea datelor la dispozitivul standard de ieșire.,Ce obiect se folosește pentru afișarea datelor pe ecran în C++?,cout,printf,cin,cerr,A
566,Obiectul cin este folosit pentru citirea datelor de la tastatură.,Ce operator este supraîncărcat pentru citirea datelor în C++?,::,<<,>>,==,C
567,Obiectele cerr și clog sunt folosite pentru afișarea mesajelor de eroare.,Care este diferența dintre cerr și clog?,Nu există nicio diferență,"cerr este folosit pentru avertismente, clog pentru erori fatale","clog scrie în fișier, cerr doar pe ecran","cerr golește bufferul imediat, clog îl păstrează până la final",D
568,Operatorii << și >> pot fi concatenați pentru a realiza operații multiple de intrare și ieșire.,Ce proprietate au operatorii << și >> în C++?,Pot fi concatenați pentru a citi sau afișa mai multe valori,Sunt exclusivi pentru tipurile întregi,Pot fi folosiți doar o dată per instrucțiune,Funcționează doar cu fișiere binare,A
569,Cuvântul rezervat endl inserează un caracter de linie nouă ('\n') și golește bufferul de ieșire.,Ce efect are manipulantul endl?,Eliberează memoria alocată de cout,Inserează un caracter de linie nouă și golește bufferul,Închide fluxul de ieșire,Afișează un spațiu,B
570,Funcțiile get() și put() din clasele de fluxuri sunt utilizate pentru citirea și scrierea caracterelor.,Ce fac funcțiile get() și put() din istream și ostream?,Eliberează fluxul curent,Citesc și scriu caractere individuale în fluxuri,Scriu și citesc blocuri binare,Formatează automat valorile numerice,B
571,"O clasă în C++ este un tip de date complex definit de utilizator, care combină date și funcții ce operează asupra acestora.",Ce este o clasă în C++?,Un tip de date definit de utilizator care conține date și funcții asociate,O funcție care returnează tipuri complexe,Un tip de structură standard,Un tip de fișier sursă,A
572,"Sintaxa generală pentru declararea unei clase include antetul, specificatorul de acces și membrii clasei.",Care este sintaxa de bază pentru declararea unei clase în C++?,class NumeClasa { membri };,object NumeClasa = { membri };,struct NumeClasa(membri);,define NumeClasa(membri);,A
573,"Pentru clase, modificatorul de acces implicit este private, iar pentru structuri este public.",Care este modificatorul de acces implicit într-o clasă C++?,protected,private,static,public,B
574,"Modificatorii de acces determină vizibilitatea membrilor clasei: public, private și protected.",Ce face un modificator de acces în cadrul unei clase?,Controlează vizibilitatea membrilor clasei,Indică poziția variabilelor în memorie,Determină tipul de constructor,Optimizează viteza de execuție,A
575,"Membrii publici ai unei clase pot fi accesați din afara acesteia, spre deosebire de cei private sau protected.",Cine poate accesa membrii publici ai unei clase?,Doar clasele derivate,Orice parte a programului,Doar metodele interne,Doar funcțiile prietene,B
576,Funcțiile membre marcate ca inline sunt definite în interiorul clasei și expandate direct în codul apelant.,Ce înseamnă o funcție inline într-o clasă C++?,Este executată paralel,Este expandată direct în codul apelant pentru eficiență,Este apelată automat de compilator,Este compilată separat,B
577,O metodă constantă nu poate modifica starea obiectului curent.,Ce restricție are o metodă declarată cu const?,Nu poate returna valori,Nu poate apela alte metode,Nu poate modifica datele membre ale obiectului,Nu poate fi apelată din alte metode,C
578,Constructorul este o funcție specială care are același nume ca și clasa și se execută automat la crearea obiectului.,Ce este un constructor în C++?,O funcție apelată pentru distrugerea obiectelor,O funcție virtuală,Un operator de inițializare static,O funcție apelată automat la crearea obiectului,D
579,"Destructorul este o funcție specială apelată automat când un obiect este distrus, având numele clasei precedat de simbolul ~.",Cum este definit un destructor în C++?,~NumeClasa(),destroy NumeClasa(),free NumeClasa(),delete NumeClasa(),A
580,Operatorul de rezoluție a domeniului (::) este utilizat pentru a face referire la membrii unei clase din afara acesteia.,Ce face operatorul :: în C++?,Conectează două clase,Creează o copie a unui obiect,Defineste un namespace,Accesează membri ai unei clase din afara acesteia,D
581,Pointerul this este un parametru ascuns transmis tuturor metodelor non-statice și indică obiectul curent.,Ce reprezintă pointerul this?,Un pointer către obiectul curent al clasei,Un pointer către primul membru static,Un pointer către zona heap,O adresă de bază pentru alocări dinamice,A
582,Membrii statici ai unei clase sunt partajați de toate obiectele acelei clase.,Ce caracterizează membrii statici ai unei clase?,Se distrug automat la ieșirea din funcție,Sunt unici pentru întreaga clasă,Au o copie pentru fiecare obiect,Sunt alocați pe stivă,B
583,"Un membru static trebuie definit în afara clasei, utilizând operatorul de rezoluție a domeniului.",Cum se definește un membru static al unei clase?,define static x = 0;,int NumeClasa::x = 0;,static int x = 0;,init static x(0);,B
584,"O funcție statică poate accesa doar membrii statici ai clasei, deoarece nu primește pointerul this.",Ce limitare au funcțiile statice în C++?,Pot fi declarate doar private,Nu pot accesa membri non-statici,Nu pot fi apelate din afara clasei,Nu pot fi definite în clase,B
585,"Într-o clasă, membrii pot fi accesați din exterior folosind operatorul punct (.) pentru obiecte sau săgeată (->) pentru pointeri.",Cum se accesează membrii unei clase?,Cu operatorul ::,Cu operatorii . și -> în funcție de tipul de acces,Prin macrodefiniții,Prin funcțiile friend,B
586,Funcțiile membre pot fi declarate în interiorul clasei și implementate ulterior în afara ei.,Cum se definește o funcție membră în afara unei clase?,void NumeClasa::Functie() { ... },void Functie::NumeClasa() { ... },Functie NumeClasa() { ... },define Functie NumeClasa(),A
587,Constructorii pot avea parametri pentru a permite inițializarea membrilor clasei la crearea obiectului.,Ce tip de constructor permite inițializarea cu valori date?,Constructor implicit,Constructor virtual,Constructor parametrizat,Constructor de conversie,C
588,Destructorii nu pot avea parametri și nu pot fi suprasarcinați.,Ce restricție se aplică destructorilor în C++?,Pot returna doar tip void,Trebuie să fie publici,Pot fi doar virtuali,Nu pot avea parametri și nu pot fi supraîncărcați,D
589,Operatorul [] poate fi supraîncărcat pentru a permite accesul la elementele interne ale unei clase.,Ce operator permite accesul personalizat la elemente într-o clasă?,operator->,operator=,operator+,operator[],D
590,Operatorul this poate fi utilizat pentru a diferenția membrii clasei de parametrii locali cu același nume.,Cum ajută pointerul this în metodele unei clase?,Evită ambiguitatea între parametri și membri,Accelerează execuția codului,Gestionează memoria heap,Înlocuiește constructorii,A
591,Un membru static al unei clase există chiar dacă nu au fost create obiecte ale clasei respective.,Când este creat un membru static al unei clase?,Odată cu inițializarea programului,La apelul funcției main(),La instanțierea primului obiect,După apelul unui constructor,A
592,Un constructor poate fi apelat implicit atunci când nu sunt furnizate argumente.,Cum este apelat constructorul implicit al unei clase?,Prin funcția friend,Prin apelul destructorului,"Automat, fără argumente",Prin operatorul new,C
593,O funcție inline definită în interiorul unei clase este tratată implicit ca inline de compilator.,Cum tratează compilatorul o funcție definită în interiorul unei clase?,O tratează automat ca funcție inline,O marchează ca privată,O definește ca statică,O ignoră la compilare,A
594,Membrii const ai unei clase trebuie inițializați în lista de inițializare a constructorului.,Cum se inițializează membrii const ai unei clase?,Prin atribuire în corpul constructorului,Prin apelul destructorului,Prin funcții inline,În lista de inițializare a constructorului,D
595,"Funcțiile statice nu au acces la pointerul this, deoarece nu sunt asociate unui obiect specific.",De ce o funcție statică nu poate accesa this?,Pentru că este declarată protected,Pentru că nu este apelată printr-un obiect concret,Pentru că este constantă,Pentru că este globală în tot programul,B
596,"Cuvântul cheie static poate fi folosit și pentru metode, nu doar pentru variabile.",Ce semnificație are o metodă statică într-o clasă?,Este virtuală implicit,Este moștenită automat,Se execută doar o singură dată,Poate fi apelată fără a crea un obiect,D
597,"O clasă poate conține atât metode, cât și date statice care sunt comune tuturor instanțelor.",Care este utilitatea datelor statice într-o clasă?,Eliberează automat memoria la final,Optimizează timpul de execuție,Determină ordinea de distrugere a obiectelor,Permit stocarea unei valori comune pentru toate obiectele clasei,D
598,Funcțiile statice pot fi apelate folosind numele clasei urmat de operatorul de rezoluție a domeniului.,Cum se apelează o funcție statică a unei clase?,prin un obiect instanțiat,cu operatorul ->,prin numele clasei: NumeClasa::Functie(),nu pot fi apelate direct,C
599,Membrii statici pot fi folosiți pentru a număra câte obiecte au fost create dintr-o clasă.,Cum poate fi folosit un membru static într-o clasă?,Pentru a stoca valori temporare ale unui obiect,Pentru a aloca memorie dinamică,Pentru a partaja o valoare între toate obiectele,Pentru a elimina ambiguitățile între metode,C
600,"În exemplul clasei Experiment, membrii statici n și s sunt folosiți pentru a calcula media valorilor tuturor obiectelor.",Ce rol au variabilele statice n și s în clasa Experiment?,Sunt utilizate pentru alocarea de memorie,Memorează ultimele valori introduse,Controlează ordinea de execuție a funcțiilor,Rețin suma și numărul obiectelor create pentru calculul mediei,D
601,Constructorii și destructorii sunt funcții membre speciale care se ocupă cu inițializarea și distrugerea obiectelor.,Care este rolul principal al constructorilor și destructorilor?,Compilarea funcțiilor inline,Inițializarea și distrugerea controlată a obiectelor,Crearea de copii temporare ale funcțiilor,Executarea buclelor interne ale clasei,B
602,"Constructorul poartă același nume ca și clasa, iar destructorul este precedat de caracterul '~'.",Cum se diferențiază un destructor de un constructor în C++?,Are întotdeauna parametri implicați,"Are același nume ca și clasa, dar este precedat de '~'",Este definit ca funcție statică,Are un tip de retur void,B
603,"Dacă o clasă nu definește explicit un constructor sau destructor, compilatorul generează automat versiunile implicite.",Ce face compilatorul dacă o clasă nu definește un constructor?,Solicită o implementare dinamică,Semnalează o eroare de compilare,Elimină inițializarea variabilelor membre,Generează automat un constructor implicit,D
604,"Constructorii nu returnează nicio valoare, nici măcar de tip void.",Ce tip de valoare returnează un constructor în C++?,tipul clasei,int,void,niciun tip de valoare,D
605,Un constructor este apelat automat atunci când se creează un obiect.,Când este apelat constructorul unei clase?,După apelul destructorului,Când obiectul este declarat,La rularea funcției main,Doar la inițializarea statică,B
606,"În C++, obiectele pot fi create în zona statică, pe stivă sau dinamic cu operatorul new.",Ce operator se folosește pentru a crea obiecte dinamice în C++?,create,alloc,new,malloc,C
607,Operatorul new apelează automat constructorul clasei pentru obiectul creat.,Ce face operatorul new în plus față de malloc?,Creează doar tablouri statice,Apelează automat constructorul clasei,Eliberează automat memoria,Returnează întotdeauna un pointer NULL,B
608,Destructorul este apelat automat când obiectul iese din domeniul de vizibilitate sau este eliberat cu delete.,Când este apelat destructorul unui obiect?,La compilare,Când obiectul iese din domeniul de vizibilitate,Când obiectul este declarat static,Când obiectul este copiat,B
609,"Constructorii pot fi clasificați în: generali, implicați, de copiere și de conversie.",Care dintre următoarele NU este un tip de constructor?,Constructor de copiere,Constructor de conversie,Constructor general,Constructor virtual,D
610,"Constructorii generali au cel puțin un argument ne-referență, folosit pentru inițializarea membrilor.",Ce caracterizează un constructor general?,Returnează o valoare implicită,Are cel puțin un parametru ne-referență folosit la inițializare,Nu are niciun parametru,Este întotdeauna static,B
611,Un constructor fără parametri este considerat implicit și poate fi generat automat de compilator.,Ce definește un constructor implicit?,Un constructor care returnează tipul clasei,Un constructor declarat static,Un constructor apelat explicit de utilizator,Un constructor fără parametri,D
612,"Dacă o clasă conține un constructor cu parametri impliciți, nu se mai poate defini și un constructor implicit fără erori.",Ce se întâmplă dacă o clasă definește atât un constructor implicit cât și unul cu parametri impliciți?,Compilatorul generează o eroare de ambiguitate,Nu se mai poate apela destructorul clasei,Constructorul implicit este ignorat,Constructorii sunt combinați automat,A
613,Constructorul de copiere se apelează când un obiect este inițializat cu valorile altui obiect de același tip.,Când este apelat un constructor de copiere?,Când se inițializează un obiect cu altul de același tip,Când se face o conversie de tip,Când se apelează destructorul clasei,Când obiectul este distrus,A
614,Constructorul de copiere primește întotdeauna o referință la un obiect al aceleiași clase.,Ce tip de parametru are constructorul de copiere?,O valoare întregă,O referință la un obiect al clasei,Un tablou constant,Un pointer la o variabilă statică,B
615,Constructorul de copiere se apelează și când obiectele sunt transmise prin valoare funcțiilor.,Ce se întâmplă când un obiect este transmis prin valoare unei funcții?,Este apelat destructorul înainte de transmitere,Este apelat operatorul new,Obiectul este mutat automat pe heap,Se apelează constructorul de copiere pentru crearea unei copii temporare,D
616,Constructorul de conversie permite transformarea automată a unui tip într-un obiect al clasei.,Ce permite un constructor de conversie de tip?,Atribuirea implicită a valorilor nule,Conversia între clase moștenite,Crearea de copii binare ale clasei,Conversia automată între tipuri diferite,D
617,Un constructor de conversie are de regulă un singur argument de tip diferit de cel al clasei.,"Câte argumente are, de obicei, un constructor de conversie?","Unul singur, de tip diferit de cel al clasei",Toți parametrii clasei,Depinde de constructorul de copiere,Niciunul,A
618,Destructorul eliberează resursele ocupate de obiect înainte de dealocarea memoriei.,Care este rolul destructorului?,Inițializarea atributelor,Eliberarea resurselor folosite de obiect,Apelarea funcțiilor inline,Alocarea dinamică de memorie,B
619,Destructorii nu pot fi supraîncărcați și nu pot primi parametri.,Ce restricție au destructorii în C++?,Pot returna doar valori întregi,Nu pot avea parametri și nu pot fi supraîncărcați,Pot fi apelați manual,Trebuie să fie statici,B
620,Ordinea de apelare a destructorilor este inversă ordinii apelării constructorilor.,În ce ordine sunt apelați destructorii în raport cu constructorii?,În ordine inversă,Aleatoriu,În aceeași ordine,În funcție de dimensiunea obiectelor,A
621,Obiectele statice definite în interiorul unei funcții sunt distruse abia după terminarea programului.,Când este apelat destructorul unui obiect static local?,La începutul programului,Imediat după terminarea blocului curent,După terminarea funcției main,Înainte de apelul altor funcții,C
622,Un obiect transmis prin valoare către o funcție se copiază și apoi se distruge la revenirea din funcție.,Ce se întâmplă cu un obiect transmis prin valoare unei funcții?,Se transmite prin pointer,Se mută în zona statică,Se creează o copie temporară care este distrusă după execuția funcției,Este returnat automat,C
623,Destructorii sunt apelați automat și pentru obiectele alocate dinamic prin operatorul delete.,Cum este apelat destructorul unui obiect creat cu operatorul new?,"Automat, prin operatorul delete",Prin compilator la sfârșitul programului,Doar pentru obiectele statice,"Manual, de către programator",A
624,"În cazul pointerilor, destructorii trebuie apelați explicit prin delete pentru a evita scurgerile de memorie.",Ce se întâmplă dacă un pointer la obiect nu este eliberat cu delete?,Destructorul nu este apelat și apare o scurgere de memorie,Obiectul este resetat implicit,Compilatorul forțează apelul destructorului,Obiectul se distruge automat,A
625,"Operatorii new și delete sunt pereche: new alocă memorie și apelează constructorul, delete eliberează și apelează destructorul.",Ce acțiuni realizează operatorii new și delete împreună?,Crearea și distrugerea controlată a obiectelor,Conversia tipurilor implicite,Inițializarea constantelor globale,Salvarea datelor statice,A
626,"Constructorii pot fi apelați implicit de compilator pentru obiecte globale, înainte de funcția main().",Când sunt apelați constructorii obiectelor globale?,Înainte de apelul funcției main(),Doar la cererea utilizatorului,La prima utilizare a clasei,După terminarea programului,A
627,Un constructor de copiere greșit implementat poate duce la erori dacă obiectul conține pointeri.,De ce poate fi periculos un constructor de copiere implicit?,Poate copia adresele pointerilor în locul conținutului acestora,Poate genera erori de tip la compilare,Poate elimina date statice ale clasei,Nu poate fi apelat de compilator,A
628,Un constructor de conversie este apelat automat atunci când se face o atribuire între tipuri compatibile.,Când se apelează un constructor de conversie?,Când destructorul returnează o valoare,Când se atribuie un tip diferit compatibil cu clasa,La copierea obiectelor de același tip,La crearea obiectelor statice,B
629,"În exemplul cu clasa Contor, destructorii se apelează în ordinea inversă a apelului constructorilor.",Care este ordinea de apelare a destructorilor în exemplul Contor?,Inversă față de ordinea apelului constructorilor,Aceeași ordine ca a constructorilor,Aleatorie,Determinată de sistemul de operare,A
630,Destructorul clasei list distruge toate nodurile alocate dinamic pentru a preveni scurgerile de memorie.,Ce face destructorul clasei list?,Salvează lista într-un fișier extern,Eliberează toate nodurile din listă pentru a preveni scurgerile de memorie,Transformă lista într-un vector static,Creează o copie a listei curente,B
631,Spațiul numelor (namespace) este o facilitate a limbajului C++ care permite gruparea identificatorilor pentru a evita conflictele de nume.,Ce problemă rezolvă utilizarea spațiilor de nume în C++?,Evită conflictele dintre variabile și funcții cu același nume,Permite utilizarea pointerilor la funcții,Optimizează consumul de memorie,Crește viteza de execuție a programului,A
632,"În C, toate variabilele globale aparțin aceluiași spațiu al numelor, ceea ce poate genera conflicte între fișiere diferite.",De ce pot apărea conflicte de nume în limbajul C?,Pentru că toate variabilele globale împart același spațiu global al numelor,Pentru că nu există modificatori statici,Pentru că fișierele sunt compilate separat,Pentru că fiecare funcție are propriul spațiu al numelor,A
633,"Variabilele statice definite la nivel de fișier sunt vizibile doar în fișierul respectiv, ascunse pentru celelalte module.",Ce rol are o variabilă statică definită la nivel de fișier?,O face accesibilă în toate fișierele programului,Determină ordinea de inițializare,Permite partajarea valorilor între module,Ascunde variabila în fișierul în care este definită,D
634,Spațiile de nume permit divizarea domeniului global al identificatorilor în domenii mai mici și independente.,Cum pot fi descrise spațiile de nume în C++?,Ca funcții care ascund codul redundant,Ca structuri logice ce grupează identificatori pentru a preveni conflictele,Ca tipuri predefinite ale compilatorului,Ca variabile globale comune,B
635,Definirea unui spațiu de nume se face folosind cuvântul cheie namespace urmat de un identificator.,Care este sintaxa de bază pentru definirea unui spațiu al numelor?,space <identificator> { definiții },define namespace (<identificator>);,using namespace <identificator>;,namespace <identificator> { declarații },D
636,"O definiție namespace poate conține variabile, funcții, clase sau structuri și nu se încheie cu ';'.",Ce element lipsește la finalul unei definiții de spațiu al numelor?,Operator de rezoluție,Instrucțiunea return,Punct și virgulă,Apostrof,C
637,"Definițiile namespace pot apărea doar la nivel global, nu în interiorul funcțiilor.",Unde poate fi definit un spațiu al numelor?,În orice bloc de cod,Doar la nivel global,Doar în clase,Doar în interiorul funcțiilor,B
638,"În mod obișnuit, spațiile de nume sunt declarate în fișiere header pentru a fi accesibile mai multor fișiere sursă.","Unde se declară, de regulă, spațiile de nume într-un proiect C++?",În funcția main(),În bibliotecile dinamice,În fișierele header (.h),În fișierele de implementare (.cpp),C
639,C++ permite completarea unui spațiu al numelor existent în fișiere diferite fără a genera erori.,Ce se întâmplă dacă același spațiu al numelor este definit în mai multe fișiere?,Se generează o eroare de redefinire,"Definițiile se completează între ele, fără eroare",Compilatorul ignoră definițiile ulterioare,Se suprascriu variabilele existente,B
640,Fiecare unitate de compilare are asociat un spațiu al numelor anonim (fără nume).,Ce este un spațiu al numelor anonim?,Un alias al spațiului std,Un spațiu global partajat între module,"Un spațiu unic pentru fiecare fișier, fără nume, accesibil doar local",Un spațiu care ascunde toate funcțiile publice,C
641,Spațiile anonime de nume înlocuiesc utilizarea variabilelor statice la nivel de fișier pentru ascunderea numelor.,Care este avantajul spațiilor anonime față de variabilele statice?,Eliberează memoria automat,Permit moștenirea claselor,Ascund numele fără a necesita declararea statică,Permit modificarea accesului protected,C
642,Operatorul de rezoluție (::) se folosește pentru a accesa elemente definite într-un spațiu al numelor.,Cum se accesează un element dintr-un spațiu de nume?,prin directiva #include,prin operatorul '->',prin operatorul '.',prin operatorul '::',D
643,O directivă using permite accesul direct la toate elementele dintr-un spațiu de nume fără prefixare.,Ce face directiva using namespace <nume>?,Declară o nouă clasă,Importă toate numele din spațiul respectiv în domeniul curent,Ascunde spațiul global al numelor,Definește o funcție globală,B
644,Directiva using namespace se poate aplica la nivel de fișier sau în interiorul unui bloc de cod.,Care este domeniul de vizibilitate al unei directive using?,Blocul de cod sau fișierul în care apare,Întregul program,Doar în cadrul claselor,Numai în funcția main(),A
645,O declarație using importă doar un identificator dintr-un spațiu al numelor.,Ce diferență există între directiva using și declarația using?,"Declarația importă tot spațiul, directiva doar un element",Directiva se aplică doar claselor,Nu există nicio diferență funcțională,"Directiva importă tot spațiul de nume, declarația doar un identificator",D
646,"O declarație using poate fi folosită în aceleași locuri ca o declarație normală (în funcții, clase etc.).",Unde se poate folosi o declarație using?,Numai la începutul programului,Doar în interiorul claselor,"În aceleași locuri ca o declarație obișnuită (în blocuri, funcții etc.)",Numai în spațiile globale,C
647,Aliasurile pentru spații de nume simplifică utilizarea numelor lungi.,Cum se definește un alias pentru un spațiu al numelor?,typedef namespace lung scurt;,namespace alias(lung);,namespace scurt = lung;,using scurt = lung;,C
648,"Dacă două spații de nume conțin același identificator și sunt importate simultan, apare o ambiguitate la utilizare.",Când apare o eroare de ambiguitate la utilizarea directivelor using?,Când aliasurile nu sunt definite corect,Când sunt definite două spații de nume cu același identificator,Când spațiul anonim este inclus în alt spațiu,Când două spații diferite conțin același nume și sunt importate simultan,D
649,"În cazul unei ambiguități, numele poate fi calificat explicit cu operatorul :: pentru a indica spațiul corect.",Cum se rezolvă ambiguitățile de nume între spații diferite?,Prin includerea fișierului header doar o dată,Prin ștergerea unuia dintre spații,Prin calificarea numelui cu operatorul de rezoluție '::',Prin utilizarea unui alias static,C
650,"Spațiul de nume std conține toate elementele standard ale C++ (cout, cin, string etc.).",Ce elemente conține spațiul de nume std?,Doar funcții matematice,"Elemente standard din biblioteca C++ precum cout, cin, string",Tipuri definite de utilizator,Macrodefiniții,B
651,Operatorul :: poate fi folosit și pentru a defini funcții membre ale unei clase declarate într-un spațiu al numelor.,Cum se definește o funcție membră a unei clase dintr-un namespace?,prin aliasul clasei,prin sintaxa <clasa>::<funcție>(),prin sintaxa <namespace>::<clasa>::<funcție>(),prin includerea namespace-ului în header,C
652,Directiva using poate fi utilizată și în interiorul altui spațiu de nume.,Este permisă folosirea directivei using într-un alt namespace?,Doar dacă namespace-ul este global,"Nu, este interzisă sintactic","Da, cu aceleași reguli de vizibilitate",Numai în fișiere .h,C
653,"În cazul funcțiilor supraîncărcate, o singură declarație using permite accesul la toate versiunile funcției.",Cum funcționează declarația using pentru funcțiile supraîncărcate?,Importă doar prima versiune a funcției,Importă doar funcțiile statice,Ignoră versiunile virtuale,Importă toate versiunile funcției cu același nume,D
654,"O declarație using pentru funcția f din spațiul spa3 importă toate versiunile f(int,int), f(double) și f(int).",Ce efect are instrucțiunea using spa3::f?,Importă doar f(double),Importă toate funcțiile f definite în spațiul spa3,"Importă doar f(int,int)",Elimină funcțiile f definite local,B
655,"Dacă două spații conțin variabile cu același nume, dar doar unul este calificat explicit, compilatorul va folosi variabila calificată.",Cum poate fi evitată confuzia între variabile cu același nume în spații diferite?,Prin utilizarea unui alias global,Prin includerea multiplă a fișierelor header,Prin utilizarea calificării explicite cu operatorul ::,Prin ștergerea unuia dintre spații,C
656,"O directivă using importă toate numele dintr-un namespace, dar nu le redefinește în domeniul curent.",Ce se întâmplă dacă un nume importat este redefinit local după directiva using?,Se ignoră declarația locală,Se generează eroare de compilare,Compilatorul folosește ambele versiuni alternativ,Numele local acoperă pe cel din spațiul importat,D
657,O declarație using poate fi utilizată pentru a scurta apelurile către funcții sau variabile frecvent folosite.,De ce este utilă o declarație using într-un program C++?,Elimină conflictele automat,Creează variabile statice,Permite apelarea directă a unui nume fără prefixarea cu namespace-ul,Optimizează timpul de compilare,C
658,"Spațiile de nume pot fi imbricate, adică un namespace poate conține alte spații de nume.",Este permisă imbricarea spațiilor de nume în C++?,Doar în bibliotecile standard,"Da, pot fi imbricate fără restricții","Nu, fiecare trebuie definit separat",Doar în interiorul claselor,B
